특수일,추정치
근무일,1.000
월요일,-0.033
토요일,-0.125
일요일,-0.202
1월 1일,-0.173
삼일절,-0.120
노동절,-0.163
식목일,-0.092
어린이날,-0.183
현충일,-0.131
제헌절,-0.186
광복절,-0.163
개천절,-0.108
크리스마스,-0.115
12월 31일,-0.089
석가탄신일,-0.133
설날 -2일,-0.079
설날 -1일,-0.256
설 당일,-0.319
설날 +1일,-0.247
설날+2일,-0.132
설날+3,-0.049
추석-2일,-0.185
추석-1일,-0.454
추석 당일,-0.549
추석 +1일,-0.484
추석 +2일,-0.343
추석 +3일,-0.185
선거일,-0.072
샌드위치데이,-0.047
하계휴가,-0.060
임시공휴일,-0.138
