지점,지점명,일시,습도(%)
90,속초,2013-01-01 00:00,43
90,속초,2013-01-01 01:00,42
90,속초,2013-01-01 02:00,41
90,속초,2013-01-01 03:00,45
90,속초,2013-01-01 04:00,53
90,속초,2013-01-01 05:00,50
90,속초,2013-01-01 06:00,52
90,속초,2013-01-01 07:00,56
90,속초,2013-01-01 08:00,56
90,속초,2013-01-01 09:00,56
90,속초,2013-01-01 10:00,52
90,속초,2013-01-01 11:00,58
90,속초,2013-01-01 12:00,57
90,속초,2013-01-01 13:00,54
90,속초,2013-01-01 14:00,48
90,속초,2013-01-01 15:00,45
90,속초,2013-01-01 16:00,48
90,속초,2013-01-01 17:00,47
90,속초,2013-01-01 18:00,44
90,속초,2013-01-01 19:00,41
90,속초,2013-01-01 20:00,45
90,속초,2013-01-01 21:00,47
90,속초,2013-01-01 22:00,60
90,속초,2013-01-01 23:00,70
